hv001,Secondaryage,NARSec,
1,2,1,0.5
2,6,1,0.166666667
3,5,3,0.6
4,8,3,0.375
5,3,1,0.333333333
6,2,1,0.5
7,3,2,0.666666667
8,3,1,0.333333333
9,6,4,0.666666667
10,4,2,0.5
11,4,2,0.5
12,3,1,0.333333333
13,3,1,0.333333333
14,1,0,0
15,0,0,.
16,2,0,0
17,1,0,0
18,5,2,0.4
19,1,0,0
20,2,2,1
21,2,2,1
22,3,1,0.333333333
23,0,0,.
24,3,2,0.666666667
25,1,0,0
26,0,0,.
27,8,2,0.25
28,5,1,0.2
29,4,2,0.5
30,6,4,0.666666667
31,2,1,0.5
32,1,1,1
33,1,0,0
34,3,2,0.666666667
35,0,0,.
36,2,1,0.5
37,4,4,1
38,2,0,0
39,4,1,0.25
40,5,3,0.6
41,0,0,.
42,3,2,0.666666667
43,1,0,0
44,0,0,.
45,5,4,0.8
46,2,1,0.5
47,6,5,0.833333333
48,3,2,0.666666667
49,2,0,0
50,2,1,0.5
51,8,5,0.625
52,4,3,0.75
53,7,4,0.571428571
54,6,3,0.5
55,5,1,0.2
56,3,2,0.666666667
57,10,5,0.5
58,10,4,0.4
59,12,10,0.833333333
60,6,2,0.333333333
61,5,3,0.6
62,3,2,0.666666667
63,3,3,1
64,12,8,0.666666667
65,7,4,0.571428571
66,5,2,0.4
67,3,1,0.333333333
68,6,4,0.666666667
69,11,3,0.272727273
70,8,2,0.25
71,4,2,0.5
72,7,5,0.714285714
73,4,2,0.5
74,7,4,0.571428571
75,8,5,0.625
76,11,5,0.454545455
77,13,4,0.307692308
78,3,1,0.333333333
79,8,5,0.625
80,5,2,0.4
81,1,1,1
82,7,1,0.142857143
83,6,4,0.666666667
84,4,2,0.5
85,10,4,0.4
86,5,3,0.6
87,3,1,0.333333333
88,11,2,0.181818182
89,7,7,1
90,2,1,0.5
91,7,6,0.857142857
92,5,3,0.6
93,5,2,0.4
94,9,6,0.666666667
95,4,3,0.75
96,8,3,0.375
97,4,1,0.25
98,3,3,1
99,6,5,0.833333333
100,1,1,1
101,6,2,0.333333333
102,10,6,0.6
103,3,2,0.666666667
104,3,3,1
105,4,2,0.5
106,9,4,0.444444444
107,11,7,0.636363636
108,4,1,0.25
109,9,8,0.888888889
110,4,2,0.5
111,6,3,0.5
112,8,1,0.125
113,5,1,0.2
114,6,3,0.5
115,7,4,0.571428571
116,2,2,1
117,7,7,1
118,4,0,0
119,6,6,1
120,6,5,0.833333333
121,3,2,0.666666667
122,2,1,0.5
123,8,4,0.5
124,3,2,0.666666667
125,7,1,0.142857143
126,3,0,0
127,6,0,0
128,8,1,0.125
129,6,2,0.333333333
130,2,1,0.5
131,1,0,0
132,3,0,0
133,5,0,0
134,2,2,1
135,5,2,0.4
136,1,0,0
137,5,4,0.8
138,3,1,0.333333333
139,11,4,0.363636364
140,0,0,.
141,6,5,0.833333333
142,2,2,1
143,9,4,0.444444444
144,5,3,0.6
145,9,5,0.555555556
146,5,4,0.8
147,5,4,0.8
148,4,3,0.75
149,5,4,0.8
150,3,2,0.666666667
151,6,3,0.5
152,4,3,0.75
153,3,2,0.666666667
154,4,1,0.25
155,3,2,0.666666667
156,3,2,0.666666667
157,1,1,1
158,1,1,1
159,5,3,0.6
160,4,2,0.5
161,4,2,0.5
162,2,1,0.5
163,3,1,0.333333333
164,7,4,0.571428571
165,6,3,0.5
166,13,7,0.538461538
167,4,2,0.5
168,3,3,1
169,7,2,0.285714286
170,2,0,0
171,4,3,0.75
172,7,4,0.571428571
173,8,5,0.625
174,9,7,0.777777778
175,5,3,0.6
176,8,3,0.375
177,1,1,1
178,8,1,0.125
179,14,5,0.357142857
180,14,6,0.428571429
181,4,0,0
182,4,1,0.25
183,6,3,0.5
184,3,2,0.666666667
185,6,3,0.5
186,8,3,0.375
187,8,3,0.375
188,10,4,0.4
189,7,3,0.428571429
190,11,7,0.636363636
191,5,5,1
192,9,3,0.333333333
193,4,4,1
194,5,5,1
195,6,3,0.5
196,0,0,.
197,8,4,0.5
198,1,1,1
199,13,9,0.692307692
200,2,2,1
201,6,5,0.833333333
202,3,2,0.666666667
203,2,1,0.5
204,0,0,.
205,3,2,0.666666667
206,3,1,0.333333333
207,4,1,0.25
208,15,7,0.466666667
209,1,1,1
210,3,2,0.666666667
211,5,2,0.4
212,12,12,1
213,10,9,0.9
214,9,6,0.666666667
215,8,2,0.25
216,7,6,0.857142857
217,0,0,.
218,1,0,0
219,1,0,0
220,2,0,0
221,3,0,0
222,5,5,1
223,0,0,.
224,5,3,0.6
225,1,0,0
226,1,1,1
227,9,3,0.333333333
228,7,3,0.428571429
229,9,4,0.444444444
230,14,12,0.857142857
231,3,2,0.666666667
232,4,4,1
233,2,1,0.5
234,3,1,0.333333333
235,4,3,0.75
236,5,2,0.4
237,14,6,0.428571429
238,3,3,1
239,2,0,0
240,4,2,0.5
241,2,2,1
242,0,0,.
243,5,1,0.2
244,5,5,1
245,4,3,0.75
246,3,1,0.333333333
247,4,1,0.25
248,2,0,0
249,4,4,1
250,2,2,1
251,0,0,.
252,3,0,0
253,2,0,0
254,2,0,0
255,2,0,0
256,1,0,0
257,2,0,0
258,1,1,1
259,1,1,1
260,4,1,0.25
261,1,0,0
262,5,1,0.2
263,3,2,0.666666667
264,4,1,0.25
265,5,3,0.6
266,2,1,0.5
267,5,2,0.4
268,2,2,1
269,10,1,0.1
270,9,0,0
271,11,1,0.090909091
272,13,1,0.076923077
273,10,3,0.3
274,9,2,0.222222222
275,11,2,0.181818182
276,12,0,0
277,7,0,0
278,18,0,0
279,11,2,0.181818182
280,20,0,0
281,14,0,0
282,10,0,0
283,5,0,0
284,10,2,0.2
285,4,1,0.25
286,1,0,0
287,2,2,1
288,5,1,0.2
289,3,1,0.333333333
290,1,0,0
291,6,2,0.333333333
292,10,2,0.2
293,10,0,0
294,14,0,0
295,4,1,0.25
296,4,0,0
297,14,0,0
298,8,4,0.5
299,13,3,0.230769231
300,15,1,0.066666667
301,11,1,0.090909091
302,6,1,0.166666667
303,3,0,0
304,2,0,0
305,6,2,0.333333333
306,2,2,1
307,3,3,1
308,8,1,0.125
309,3,1,0.333333333
310,21,3,0.142857143
311,12,3,0.25
312,15,0,0
313,15,3,0.2
314,10,3,0.3
315,4,4,1
316,11,2,0.181818182
317,16,7,0.4375
318,19,7,0.368421053
319,10,4,0.4
320,2,0,0
321,14,2,0.142857143
322,15,2,0.133333333
323,4,1,0.25
324,7,4,0.571428571
325,2,1,0.5
326,5,2,0.4
327,5,2,0.4
328,6,0,0
329,5,0,0
330,19,4,0.210526316
331,15,1,0.066666667
332,14,2,0.142857143
333,19,0,0
334,10,1,0.1
335,4,0,0
336,11,0,0
338,12,4,0.333333333
339,6,0,0
340,10,0,0
341,12,1,0.083333333
342,9,1,0.111111111
343,5,0,0
344,14,1,0.071428571
345,10,2,0.2
346,7,0,0
347,6,0,0
348,6,0,0
349,13,4,0.307692308
350,11,7,0.636363636
351,1,0,0
352,7,0,0
353,12,0,0
354,10,1,0.1
355,11,1,0.090909091
356,12,2,0.166666667
357,13,1,0.076923077
358,7,1,0.142857143
359,6,0,0
360,15,1,0.066666667
361,11,0,0
362,9,0,0
363,12,2,0.166666667
364,11,0,0
365,16,0,0
366,12,6,0.5
367,5,2,0.4
368,11,4,0.363636364
369,8,0,0
370,5,4,0.8
371,9,0,0
372,9,1,0.111111111
373,5,1,0.2
374,4,1,0.25
375,7,4,0.571428571
376,7,0,0
377,5,2,0.4
378,3,1,0.333333333
379,1,1,1
380,5,3,0.6
381,8,3,0.375
382,13,4,0.307692308
383,2,1,0.5
384,4,2,0.5
385,1,1,1
386,2,0,0
387,7,2,0.285714286
388,8,1,0.125
389,9,1,0.111111111
390,9,2,0.222222222
391,9,0,0
392,5,0,0
393,10,1,0.1
394,12,0,0
395,6,1,0.166666667
396,4,1,0.25
397,16,3,0.1875
398,11,0,0
399,7,2,0.285714286
400,3,1,0.333333333
401,2,2,1
402,1,1,1
403,0,0,.
404,1,1,1
405,1,1,1
406,2,0,0
407,0,0,.
408,2,0,0
409,11,1,0.090909091
410,4,0,0
411,8,0,0
412,3,2,0.666666667
413,11,8,0.727272727
414,7,2,0.285714286
415,5,1,0.2
416,7,3,0.428571429
417,12,7,0.583333333
418,9,5,0.555555556
419,12,8,0.666666667
420,8,3,0.375
421,3,2,0.666666667
422,1,1,1
424,5,2,0.4
425,10,3,0.3
426,2,0,0
427,1,0,0
428,4,0,0
429,2,0,0
430,11,1,0.090909091
431,9,3,0.333333333
432,6,3,0.5
433,11,6,0.545454545
434,15,7,0.466666667
435,4,0,0
436,13,2,0.153846154
437,11,0,0
438,6,0,0
439,3,0,0
440,2,0,0
441,7,1,0.142857143
442,4,0,0
443,9,0,0
444,5,1,0.2
445,2,0,0
446,6,2,0.333333333
447,6,0,0
448,12,3,0.25
449,4,0,0
450,6,1,0.166666667
451,4,0,0
452,7,0,0
453,14,0,0
454,27,11,0.407407407
455,24,7,0.291666667
456,5,1,0.2
457,12,3,0.25
458,10,1,0.1
459,10,3,0.3
460,9,1,0.111111111
461,13,5,0.384615385
462,8,1,0.125
463,9,2,0.222222222
464,2,0,0
465,10,4,0.4
466,1,0,0
467,4,2,0.5
468,5,1,0.2
469,6,1,0.166666667
470,10,1,0.1
471,9,4,0.444444444
472,9,0,0
473,11,0,0
474,3,1,0.333333333
475,6,3,0.5
476,11,6,0.545454545
477,3,1,0.333333333
478,11,1,0.090909091
479,4,0,0
480,13,1,0.076923077
481,9,4,0.444444444
482,9,0,0
483,14,3,0.214285714
484,9,1,0.111111111
485,4,0,0
486,8,1,0.125
487,10,1,0.1
489,13,5,0.384615385
490,8,4,0.5
491,5,1,0.2
492,15,0,0
493,7,0,0
494,10,0,0
495,3,1,0.333333333
496,4,1,0.25
497,4,3,0.75
498,3,0,0
499,7,1,0.142857143
500,7,3,0.428571429
501,4,2,0.5
502,6,2,0.333333333
503,5,1,0.2
504,0,0,.
505,3,1,0.333333333
506,3,0,0
507,3,0,0
508,5,4,0.8
509,5,3,0.6
510,5,2,0.4
511,3,0,0
512,3,1,0.333333333
513,4,0,0
514,5,1,0.2
515,13,5,0.384615385
516,6,0,0
517,10,3,0.3
518,9,1,0.111111111
519,5,1,0.2
520,4,3,0.75
521,7,1,0.142857143
522,4,1,0.25
523,6,0,0
524,19,0,0
525,3,0,0
526,8,3,0.375
527,6,2,0.333333333
528,4,2,0.5
529,2,1,0.5
530,8,1,0.125
531,8,4,0.5
532,1,1,1
533,0,0,.
534,0,0,.
535,3,0,0
536,2,2,1
537,6,2,0.333333333
538,6,4,0.666666667
539,4,1,0.25
540,3,2,0.666666667
541,8,2,0.25
542,8,2,0.25
543,9,1,0.111111111
544,9,1,0.111111111
545,7,6,0.857142857
546,10,4,0.4
547,7,5,0.714285714
548,3,2,0.666666667
549,11,9,0.818181818
550,4,3,0.75
551,7,4,0.571428571
552,5,2,0.4
553,11,5,0.454545455
554,11,6,0.545454545
555,2,0,0
556,6,1,0.166666667
557,5,0,0
558,6,1,0.166666667
559,10,0,0
560,7,0,0
561,5,0,0
562,2,1,0.5
563,4,0,0
564,1,0,0
565,4,1,0.25
566,4,0,0
567,4,3,0.75
568,4,3,0.75
569,2,1,0.5
570,6,2,0.333333333
571,6,2,0.333333333
572,9,4,0.444444444
573,3,2,0.666666667
574,2,0,0
575,8,2,0.25
576,9,6,0.666666667
577,5,2,0.4
578,3,2,0.666666667
579,6,3,0.5
580,11,4,0.363636364
581,1,1,1
582,11,4,0.363636364
583,6,2,0.333333333
584,10,2,0.2
585,4,0,0
586,3,1,0.333333333
587,10,3,0.3
588,7,1,0.142857143
589,8,0,0
590,12,5,0.416666667
591,6,1,0.166666667
592,9,3,0.333333333
593,12,6,0.5
594,10,1,0.1
595,16,5,0.3125
596,9,2,0.222222222
597,15,4,0.266666667
598,15,3,0.2
599,2,1,0.5
600,7,1,0.142857143
601,9,5,0.555555556
602,10,2,0.2
603,4,0,0
604,4,0,0
605,13,5,0.384615385
606,13,1,0.076923077
607,8,5,0.625
608,19,2,0.105263158
609,12,2,0.166666667
610,7,5,0.714285714
611,10,8,0.8
612,8,3,0.375
613,5,0,0
614,8,1,0.125
615,12,1,0.083333333
616,13,1,0.076923077
617,10,1,0.1
618,1,0,0
619,4,0,0
620,6,1,0.166666667
621,16,2,0.125
622,10,0,0
623,5,1,0.2
624,12,7,0.583333333
625,12,2,0.166666667
626,10,1,0.1
627,11,0,0
628,16,3,0.1875
629,15,7,0.466666667
630,0,0,.
631,3,2,0.666666667
632,3,1,0.333333333
633,5,3,0.6
634,1,1,1
635,12,9,0.75
636,6,2,0.333333333
637,8,3,0.375
638,8,2,0.25
639,0,0,.
640,4,3,0.75
641,2,1,0.5
642,5,1,0.2
643,12,4,0.333333333
644,8,4,0.5
645,5,2,0.4
646,5,1,0.2
647,10,7,0.7
648,12,4,0.333333333
649,8,4,0.5
650,10,4,0.4
651,4,0,0
