v001,currentlymarriedwomen,employedandmarried,
1,3,1,0.333333333
2,4,3,0.75
3,8,4,0.5
4,4,3,0.75
5,2,2,1
6,2,1,0.5
7,2,2,1
8,4,3,0.75
9,4,2,0.5
10,5,5,1
11,4,3,0.75
12,3,3,1
13,3,3,1
14,3,2,0.666666667
15,4,4,1
16,2,2,1
17,7,5,0.714285714
18,6,5,0.833333333
19,7,6,0.857142857
20,5,3,0.6
21,7,6,0.857142857
22,4,3,0.75
23,5,3,0.6
24,8,6,0.75
25,6,5,0.833333333
26,3,1,0.333333333
27,6,4,0.666666667
28,3,3,1
29,6,2,0.333333333
30,7,6,0.857142857
31,1,0,0
32,5,2,0.4
33,5,4,0.8
34,1,1,1
35,3,2,0.666666667
36,7,6,0.857142857
37,5,5,1
38,5,5,1
39,5,5,1
40,8,3,0.375
41,5,3,0.6
42,6,6,1
43,5,4,0.8
44,5,5,1
45,4,3,0.75
46,2,1,0.5
47,2,1,0.5
48,9,5,0.555555556
49,4,3,0.75
50,5,5,1
51,4,1,0.25
52,5,4,0.8
53,4,2,0.5
54,4,3,0.75
55,4,1,0.25
56,3,2,0.666666667
57,3,3,1
58,6,6,1
59,3,3,1
60,2,1,0.5
61,3,3,1
62,3,3,1
63,7,7,1
64,6,6,1
65,6,5,0.833333333
66,1,0,0
67,4,2,0.5
68,6,6,1
69,3,3,1
70,8,6,0.75
71,3,3,1
72,8,7,0.875
73,5,5,1
74,5,4,0.8
75,5,3,0.6
76,6,6,1
77,7,7,1
78,4,3,0.75
79,6,6,1
80,6,6,1
81,5,5,1
82,2,2,1
83,5,5,1
84,9,7,0.777777778
85,4,3,0.75
86,5,5,1
87,5,5,1
88,7,7,1
89,4,4,1
90,6,4,0.666666667
91,5,4,0.8
92,8,6,0.75
93,4,4,1
94,5,5,1
95,4,3,0.75
96,9,8,0.888888889
97,6,6,1
98,6,3,0.5
99,7,7,1
100,3,3,1
101,6,6,1
102,11,9,0.818181818
103,2,2,1
104,5,5,1
105,7,7,1
106,5,5,1
107,4,4,1
108,4,4,1
109,2,1,0.5
110,5,5,1
111,5,5,1
112,7,7,1
113,4,4,1
114,5,3,0.6
115,8,8,1
116,8,8,1
117,8,6,0.75
118,12,11,0.916666667
119,6,5,0.833333333
120,3,3,1
121,6,3,0.5
122,8,8,1
123,9,6,0.666666667
124,6,4,0.666666667
125,4,4,1
126,7,5,0.714285714
127,5,5,1
128,3,3,1
129,8,7,0.875
130,5,5,1
131,5,5,1
132,4,4,1
133,6,6,1
134,3,3,1
135,5,5,1
136,6,6,1
137,6,6,1
138,7,7,1
139,8,8,1
140,3,2,0.666666667
141,4,3,0.75
142,4,4,1
143,4,4,1
144,7,7,1
145,5,4,0.8
146,2,2,1
147,5,5,1
148,4,4,1
149,5,5,1
150,5,5,1
151,4,4,1
152,6,5,0.833333333
153,4,4,1
154,7,7,1
155,7,7,1
156,8,8,1
157,7,7,1
158,4,3,0.75
159,5,5,1
160,5,4,0.8
161,5,4,0.8
162,7,6,0.857142857
163,4,4,1
164,5,4,0.8
165,5,4,0.8
166,2,2,1
167,7,7,1
168,6,6,1
169,8,8,1
170,3,3,1
171,3,3,1
172,6,6,1
173,5,5,1
174,7,7,1
175,4,4,1
176,6,6,1
177,2,2,1
178,6,5,0.833333333
179,7,6,0.857142857
180,8,8,1
181,4,3,0.75
182,7,7,1
183,6,6,1
184,5,5,1
185,6,6,1
186,5,3,0.6
187,7,7,1
188,5,5,1
189,4,3,0.75
190,1,1,1
191,5,2,0.4
192,7,6,0.857142857
193,4,4,1
194,4,2,0.5
195,3,2,0.666666667
196,3,2,0.666666667
197,5,4,0.8
198,3,2,0.666666667
199,9,9,1
200,6,6,1
201,5,5,1
202,4,4,1
203,4,4,1
204,4,4,1
205,3,3,1
206,6,6,1
207,5,4,0.8
208,2,2,1
209,1,1,1
210,2,2,1
211,5,5,1
212,5,5,1
213,6,6,1
214,4,4,1
215,8,6,0.75
216,6,4,0.666666667
217,2,1,0.5
218,0,0,.
219,2,1,0.5
220,3,2,0.666666667
221,7,7,1
222,7,4,0.571428571
223,2,2,1
224,9,4,0.444444444
225,2,0,0
226,3,3,1
227,9,9,1
228,6,4,0.666666667
229,4,4,1
230,4,3,0.75
231,5,5,1
232,5,5,1
233,4,3,0.75
234,4,1,0.25
235,5,0,0
236,4,1,0.25
237,7,2,0.285714286
